URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_target,away_team_shots_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_shots_wide,away_team_shots_wide,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/atletico-mg/2418967/live,Flamengo,Atletico Mg,2017,1, 1 , 1 , 48% , 52% , 2 , 3 ,,,,, , 3 , 6 , 7 ,,, 71 , 61 , 46 , 36 , 3 , 1 ,,,,, 2 , 2 ,,, 7 , 11 , 12 , 10 , 10 , 12 , 18 , 25 , 4 , 6 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/avai/vitoria/2418975/live,Avai,Vitoria,2017,1,,, 40% , 60% , 3 , 1 ,,, , 2 , 2 , 2 , 9 , 7 ,,, 60 , 60 , 34 , 33 , 2 , 2 ,,,,, , 2 ,,, 6 , 15 , 17 , 8 , 8 , 13 , 20 , 24 , 7 , 4 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/corinthians/chapecoense/2418969/live,Corinthians,Chapecoense,2017,1, 1 , 1 , 60% , 40% ,,,,, , 2 , , 4 , 3 , 6 ,,, 63 , 59 , 35 , 38 , 1 , 3 ,,,,, 2 , 2 ,,, 10 , 13 , 16 , 11 , 10 , 4 , 24 , 24 , 1 , 7 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/bahia/atletico-pr/2418973/live,Bahia,Atletico Pr,2017,1, 6 , 2 , 51% , 49% , 5 , 2 ,,,,, 2 , , 10 , 3 ,,, 53 , 41 , 41 , 16 , 4 , 1 ,,, , 1 , , 1 ,,, 11 , 11 , 12 , 15 , 4 , 10 , 20 , 20 , 14 , 3 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/cruzeiro/sao-paulo/2418970/live,Cruzeiro,Sao Paulo,2017,1, 1 , , 43% , 57% , 4 , 4 ,,,,, 1 , 3 , 2 , 8 ,,, 49 , 51 , 26 , 33 , , 1 ,,,,, , 1 ,,, 10 , 12 , 13 , 10 , 10 , 2 , 23 , 31 , 5 , 5 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/ponte-preta/sport/2418974/live,Ponte Preta,Sport,2017,1, 4 , , 50% , 50% , 2 , ,,,,,,, 4 , 1 ,,, 71 , 60 , 40 , 27 , 2 , 1 , 1 , ,,, , 2 ,,, 12 , 17 , 18 , 14 , 6 , 5 , 20 , 31 , 4 , 2 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/gremio/botafogo/2418972/live,Gremio,Botafogo,2017,1, 2 , , 52% , 48% , 7 , 4 ,,, , 1 ,,, 6 , 3 ,,, 64 , 58 , 40 , 33 , 1 , 1 ,,,,, 1 , 5 ,,, 13 , 19 , 20 , 14 , 6 , 9 , 17 , 15 , 6 , 4 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/vasco/2418968/live,Palmeiras,Vasco,2017,1, 4 , , 55% , 45% , 6 , 5 ,,, , 1 , , 1 , 4 , 7 ,,, 43 , 49 , 35 , 34 , 6 , 2 , 2 , ,,, , 2 ,,, 17 , 14 , 16 , 23 , 11 , 6 , 12 , 22 , 3 , 2 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/santos/coritiba/2418978/live,Santos,Coritiba,2017,2, 1 , , 41% , 59% , 3 , 11 ,,,,, , 4 , 6 , 9 ,,, 59 , 68 , 38 , 46 , 1 , 2 , , 1 ,,, 6 , 4 ,,, 22 , 17 , 19 , 24 , 12 , 7 , 24 , 22 , 3 , 4 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/coritiba/atletico-go/2418971/live,Coritiba,Atletico Go,2017,1, 4 , 1 , 59% , 41% , 3 , 8 ,,, , 1 , 2 , 1 , 10 , 7 ,,, 64 , 52 , 33 , 34 , 1 , 1 ,,,,, 1 , 2 ,,, 17 , 13 , 14 , 18 , 9 , 12 , 15 , 18 , 6 , 6 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fluminense/santos/2418966/live,Fluminense,Santos,2017,1, 3 , 2 , 44% , 56% , 3 , 5 ,,, 1 , 2 , 1 , 2 , 1 , 9 ,,, 42 , 44 , 27 , 32 , 2 , 2 , 1 , ,,, 1 , 5 ,,, 15 , 17 , 19 , 17 , 10 , 5 , 6 , 21 , 5 , 8 
