URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/chapecoense/palmeiras/2015473/live,Chapecoense,Palmeiras,2015,29,5,1, 49% , 51% ,3,3,,,,,4,6,61,50,32,27, ,1,,,,, ,5, , ,19,19,20,19,9,7,25,32,2,7
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/ponte-preta/2015475/live,Palmeiras,Ponte Preta,2015,30, ,1, 58% , 42% ,6,1,,,5,2,6,3,60,37,37,19,1, , ,1,,,2,3,,,17,17,17,18,6,14,29,21,8,6
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sport/avai/2015482/live,Sport,Avai,2015,30,3, , 61% , 39% ,2,4,,,,,7,3,57,38,28,13,2,1,,,,,2,5,,,7,14,17,9,5,8,15,10,9, 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/figueirense/flamengo/2015480/live,Figueirense,Flamengo,2015,30,3, , 30% , 70% ,3,1,,,2,2,3,5,45,57,25,31,1,2,,,,,1,1,,,12,9,11,13,13,8,16,26,5,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/joinville/coritiba/2015483/live,Joinville,Coritiba,2015,30,3,1, 44% , 56% ,3,6, ,1,,,5,5,75,77,28,36, ,3,1,2,,,6,1,,,22,16,19,22,7,10,22,30,4,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/vasco/chapecoense/2015477/live,Vasco,Chapecoense,2015,30,1,1, 56% , 44% ,4,3,,,4,2,3,4,45,35,27,20,2,2, ,1,,,4,5,,,16,18,20,18,10,6,31,23,8, 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/corinthians/goias/2015474/live,Corinthians,Goias,2015,30,3, , 55% , 45% ,5,3,,,,,8,4,45,54,28,31,3,6,,,,,1,5,,,7,9,15,10,9,11,20,20,6,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fluminense/sao-paulo/2015476/live,Fluminense,Sao Paulo,2015,30,2, , 41% , 59% ,1,1, ,2,2,1,2,7,43,47,23,27, ,2,,,,, ,4,,,16,19,22,16,11,8,27,23,3,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/avai/palmeiras/2015490/live,Avai,Palmeiras,2015,31,1,3, 52% , 48% ,3,4,,,2,3,5,4,72,64,43,36,2,2,,,,,3,4,,,14,28,30,17,7,12,27,24,1,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/gremio/santos/2015478/live,Gremio,Santos,2015,30,1, , 45% , 55% ,2,2, ,1, ,2,8,5,46,56,34,37, ,1,,,,,3,3,,,14,5,6,14,10,12,18,26,9,11
