URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_target,away_team_shots_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_shots_wide,away_team_shots_wide,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sao-paulo/botafogo/2988920/live,Sao Paulo,Botafogo,2019,1, 2 , , 39% , 61% , 4 , 3 ,,,,, 1 , 2 , 2 , 3 ,,, 75 , 99 , 58 , 63 , 2 , 1 ,,,,, , 4 ,,, 23 , 7 , 7 , 20 , 4 , 6 , 17 , 13 , 3 , 2 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-mg/avai/2988917/live,Atletico Mg,Avai,2019,1, 2 , 1 , 58% , 42% , 1 , ,,, 1 , 1 , , 1 , 8 , 4 ,,, 83 , 64 , 41 , 31 , , 1 , 1 , ,,, , 1 ,,, 12 , 18 , 17 , 11 , 7 , 11 , 28 , 23 , 4 , 4 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-pr/vasco/2988925/live,Atletico Pr,Vasco,2019,1, 4 , 1 , 56% , 44% , 6 , 3 ,,, 1 , 1 , 1 , 1 , 6 , 7 ,,, 51 , 55 , 38 , 32 , 2 , 1 ,,,,, 1 , 1 ,,, 15 , 19 , 18 , 15 , 7 , 8 , 19 , 15 , 4 , 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/gremio/santos/2988916/live,Gremio,Santos,2019,1, 1 , 2 , 62% , 38% , 11 , 3 ,,, 1 , , 5 , , 7 , 4 ,,, 61 , 42 , 53 , 30 , 2 , 1 ,,,,, 3 , 4 ,,, 12 , 18 , 17 , 12 , 4 , 10 , 25 , 24 , 12 , 2 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/cruzeiro/2988921/live,Flamengo,Cruzeiro,2019,1, 3 , 1 , 57% , 43% , 3 , 1 ,,,,, 6 , , 7 , 1 ,,, 56 , 44 , 40 , 20 , , 1 ,,, , 1 , 4 , 4 ,,, 13 , 17 , 16 , 12 , 1 , 5 , 23 , 11 , 6 , 2 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/ceara/csa/2988918/live,Ceara,Csa,2019,1, 4 , , 54% , 46% , 2 , 1 ,,, 1 , , 2 , , 5 , 4 ,,, 76 , 38 , 49 , 21 , 2 , 1 , , ,,, , , , 1 , 15 , 4 , 4 , 13 , 8 , 10 , 11 , 19 , 3 , 6 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/chapecoense/internacional/2988923/live,Chapecoense,Internacional,2019,1, 2 , , 45% , 55% , 5 , 7 ,,,,, , 3 , 4 , 10 ,,, 75 , 89 , 28 , 45 , , 2 , 1 , ,,, 1 , 1 ,,, 15 , 11 , 8 , 13 , 14 , 5 , 32 , 28 , 3 , 5 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/bahia/corinthians/2988924/live,Bahia,Corinthians,2019,1, 3 , 2 , 42% , 58% , 4 , 2 ,,, 1 , , 1 , 1 , 3 , 3 ,,, 57 , 51 , 37 , 20 , 1 , ,,,,, 1 , 4 ,,, 17 , 5 , 3 , 17 , 4 , 10 , 24 , 23 , 4 , 4 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/avai/gremio/2988933/live,Avai,Gremio,2019,2, 1 , 1 , 49% , 51% , 4 , ,,,,, , 1 , 8 , 1 ,,, 66 , 68 , 35 , 39 , , 1 ,,,,, 4 , 3 ,,, 15 , 17 , 15 , 14 , 7 , 10 , 21 , 16 , 11 , 4 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fortaleza/atletico-pr/2988928/live,Fortaleza,Atletico Pr,2019,2, 2 , 1 , 43% , 57% , 3 , 4 ,,, , 1 , 2 , 1 , 7 , 4 ,,, 43 , 77 , 32 , 47 , 1 , ,,,,, 3 , 3 ,,, 12 , 19 , 19 , 11 , 15 , 7 , 18 , 8 , 2 , 7 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/fortaleza/2988919/live,Palmeiras,Fortaleza,2019,1, 4 , , 52% , 48% , 3 , 5 ,,,,, 3 , 1 , 5 , 2 ,,, 80 , 65 , 55 , 33 , 3 , 1 ,,,,, 1 , 2 ,,, 12 , 16 , 13 , 12 , 5 , 13 , 17 , 18 , 6 , 1 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fluminense/goias/2988922/live,Fluminense,Goias,2019,1, , 1 , 67% , 33% , 3 , 2 ,,,,,,, 5 , 4 ,,, 57 , 34 , 38 , 22 , 1 , , 1 , ,,, 4 , 1 ,,, 14 , 9 , 8 , 13 , 7 , 7 , 20 , 13 , 5 , 5 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/csa/palmeiras/2988935/live,Csa,Palmeiras,2019,2, 1 , 1 , 45% , 55% , 2 , 5 ,,, 1 , , 1 , 2 , 3 , 7 ,,, 74 , 81 , 35 , 49 , 1 , 1 ,,,,,,,,, 9 , 10 , 11 , 10 , 12 , 2 , 13 , 14 , 3 , 7 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/internacional/flamengo/2988926/live,Internacional,Flamengo,2019,2, 2 , 1 , 45% , 55% , 5 , 4 ,,, 1 , , 3 , 2 , 4 , 1 ,,, 52 , 51 , 37 , 39 , 1 , 3 ,,,,, 3 , 2 ,,, 8 , 9 , 8 , 8 , 6 , 8 , 22 , 13 , 4 , 5 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/corinthians/chapecoense/2988929/live,Corinthians,Chapecoense,2019,2, 1 , , 54% , 46% , 1 , 2 ,,, 1 , , 4 , 2 , 3 , 7 ,,, 67 , 57 , 39 , 26 , 1 , 1 ,,,,, 2 , 1 ,,, 14 , 10 , 10 , 14 , 10 , 9 , 24 , 26 , 7 , 2 
