URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_target,away_team_shots_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_shots_wide,away_team_shots_wide,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/sport/2217902/live,Flamengo,Sport,2016,1,1, , 56% , 44% ,4,1,,,,,,,6, ,,,79,50,46,26,2,2,,,,,2,1, ,1,18,16,18,20,1,6,18,25,4,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/santa-cruz/vitoria/2217910/live,Santa Cruz,Vitoria,2016,1,4,1, 46% , 54% ,1,1,,, ,1,1,1,1,3,,,38,45,19,18,6,1,1, ,,,3, ,,,10,15,17,17,7,2,30,32,6,1
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/figueirense/ponte-preta/2217908/live,Figueirense,Ponte Preta,2016,1,,, 49% , 51% ,5,2,,, ,1,4,5,5,11,,,54,59,32,46,1,1,,,,,2,5,,,7,19,22,8,17,13,28,35,6,9
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/corinthians/gremio/2217903/live,Corinthians,Gremio,2016,1,,, 59% , 41% ,3,2,,,,,2,1,11,3,,,80,72,43,42,2,3,,,,,1,4,,,12,20,23,14,8,15,31,26,10,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/coritiba/cruzeiro/2217907/live,Coritiba,Cruzeiro,2016,1,1, , 51% , 49% ,2,1,,,,,2, ,4,3,,,73,72,43,35,1,4,,, ,1,1,3, ,1,19,22,26,20,5,7,23,22,5, 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/atletico-pr/2217904/live,Palmeiras,Atletico Pr,2016,1,4, , 61% , 39% ,3,1,,,,,1, ,4,2,,,49,40,32,22,3, ,,, ,1,1,4,,,13,17,17,16,4,8,20,20,8,1
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/america-mineiro/fluminense/2217909/live,America Mineiro,Fluminense,2016,1, ,1, 42% , 58% ,3,2,,,,, ,1,10,6,,,44,48,35,42,2,4,,,,,,,,,8,9,13,10,12,7,21,30,8,15
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-mg/santos/2217905/live,Atletico Mg,Santos,2016,1,1, , 46% , 54% ,5,4,,,,,4,2,8,5,,,69,73,43,47,4,5,,,,,2,2,,,18,11,16,22,10,9,22,37,4,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/botafogo/sao-paulo/2217901/live,Botafogo,Sao Paulo,2016,1, ,1, 67% , 33% ,5,2,,,,,2, ,6,2,,,75,46,60,26,3,3,,,,,1,5,,,7,10,13,10,5,14,25,15,7,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/internacional/chapecoense/2217906/live,Internacional,Chapecoense,2016,1,,, 59% , 41% ,6,2,,,,,2, ,3,3,,,68,36,39,22,1, ,1, , ,1,3,4,,,14,19,19,15,9,6,24,45,9,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/ponte-preta/palmeiras/2217919/live,Ponte Preta,Palmeiras,2016,2,2,1, 37% , 63% ,3,4,,,1, ,3,1,2,3,,,54,71,28,34,3,3,,,,,3,4,,,20,16,19,23,10,10,30,30,4,6
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/cruzeiro/figueirense/2217915/live,Cruzeiro,Figueirense,2016,2,2,2, 66% , 34% ,6,3,,,,,4,2,6,5,,,56,35,38,20,1,1,,,,,3,1,,,11,13,15,12,8,15,35,21,5,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fluminense/santa-cruz/2217912/live,Fluminense,Santa Cruz,2016,2,2,2, 55% , 45% ,2,2,,,,,,,8,5,,,60,56,36,37,,, ,1,,,3,5,,,19,23,23,19,8,11,20,13,6,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-pr/atletico-mg/2217917/live,Atletico Pr,Atletico Mg,2016,2,1,1, 46% , 54% ,2,8,,,,,1,1,3,9,,,68,85,36,55,1,4, ,1,,,3,1,,,18,6,10,19,16,7,24,27,5,13
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/santos/coritiba/2217914/live,Santos,Coritiba,2016,2,1,1, 59% , 41% ,4, ,,, ,1,,,2,2,,,65,46,42,25,6,2,,,,,5,2,,,13,15,17,19,4,6,24,18,2,1
