URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_target,away_team_shots_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_shots_wide,away_team_shots_wide,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/vitoria/corinthians/1645190/live,Vitoria,Corinthians,2014,11,,, 49% , 51% , 1 , ,,,,,,, 2 , 3 ,,, 33 , 18 , 16 , 12 , 4 , ,,,,,,,,, 13 , 19 , 19 , 17 , 3 , 6 , 18 , 19 , 4 , 5 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/internacional/flamengo/1645191/live,Internacional,Flamengo,2014,11, 4 , , 58% , 42% , 6 , ,,,,, 1 , 1 , 4 , ,,, 60 , 55 , 38 , 22 , , 1 , 1 , ,,, , 1 , , 1 , 11 , 10 , 11 , 13 , 2 , 11 , 20 , 24 , 5 , 5 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/cruzeiro/figueirense/1645199/live,Cruzeiro,Figueirense,2014,12, 5 , , 68% , 32% , 2 , 2 ,,,,, 1 , 1 , 5 , 6 ,,, 49 , 42 , 30 , 17 ,,, 1 , ,,, , 1 ,,, 11 , 13 , 15 , 11 , 7 , 10 , 29 , 26 , 4 , 3 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/goias/sao-paulo/1645203/live,Goias,Sao Paulo,2014,12, 2 , 1 , 32% , 68% , 2 , 5 ,,,,, 2 , 3 , 4 , 4 ,,, 39 , 64 , 22 , 36 , 2 , 3 ,,,,, 2 , 1 ,,, 14 , 9 , 12 , 16 , 16 , 6 , 12 , 24 , 6 , 11 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-pr/fluminense/1645198/live,Atletico Pr,Fluminense,2014,12, , 3 , 46% , 54% , 5 , 3 ,,,,, 1 , 2 , 7 , 2 ,,, 77 , 76 , 35 , 32 , 5 , 2 , , 1 ,,, 3 , 1 ,,, 15 , 16 , 18 , 20 , 6 , 9 , 19 , 22 , 5 , 1 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/botafogo/1645194/live,Flamengo,Botafogo,2014,12, 1 , , 47% , 53% , 2 , 7 ,,,,, 1 , 2 , 6 , 4 ,,, 45 , 46 , 27 , 25 , 3 , 3 ,,,,, 3 , 4 , 1 , , 27 , 18 , 22 , 31 , 13 , 9 , 27 , 18 , 2 , 2 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/criciuma/vitoria/1645202/live,Criciuma,Vitoria,2014,12, 1 , 3 , 55% , 45% , 5 , 3 ,,,,,,, 11 , 3 ,,, 61 , 48 , 43 , 25 , 4 , ,,,,, 3 , 3 , 1 , , 23 , 24 , 24 , 27 , 6 , 14 , 30 , 17 , 6 , 4 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/bahia/internacional/1645200/live,Bahia,Internacional,2014,12, , 1 , 50% , 50% , 1 , 3 ,,,,, 1 , , 4 , 2 ,,, 72 , 64 , 26 , 26 , 4 , 1 ,,,,, 2 , 2 ,,, 20 , 25 , 26 , 24 , 3 , 9 , 26 , 28 , 2 , 1 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/corinthians/palmeiras/1645196/live,Corinthians,Palmeiras,2014,12, 2 , , 58% , 42% , 6 , 2 ,,, 1 , , 3 , 1 , 3 , 5 ,,, 52 , 47 , 36 , 31 , 2 , 3 ,,,,, 1 , 2 ,,, 20 , 27 , 30 , 22 , 5 , 5 , 25 , 30 , 8 , 5 
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sport/atletico-mg/1645195/live,Sport,Atletico Mg,2014,12, 2 , 1 , 33% , 67% , 2 , 4 ,,,,, , 2 , 5 , 6 ,,, 43 , 54 , 18 , 35 , 3 , 3 , , 1 ,,, , 3 ,,, 9 , 13 , 16 , 12 , 10 , 8 , 8 , 32 , 4 , 8 
