Vasco;Portuguesa;2013;1; 1 ; ; 51% ; 49% ; 1 ; 1 ; 1 ; 1 ;;;;; 7 ; 2 ; 7 ; 2 ; 50 ; 47 ; 32 ; 27 ; 3 ; 6 ;;; ; 1 ; 2 ; 1 ; ; ; 13 ; 20 ; 26 ; 16 ; 5 ; 12 ; 20 ; 32 ; 3 ; 5 
Cruzeiro;Goias;2013;1; 5 ; ; 54% ; 46% ;;; 6 ; 2 ;;;;;;; 4 ; 5 ; 66 ; 60 ; 37 ; 34 ; 2 ; 4 ;;;;; ; 1 ;;; 12 ; 11 ; 15 ; 14 ; 5 ; 7 ; 14 ; 33 ; 6 ; 3 
Ponte Preta;Sao Paulo;2013;1; ; 2 ; 52% ; 48% ;;; 4 ; 4 ;;;;;;; 10 ; 4 ; 72 ; 48 ; 54 ; 34 ; 4 ; ; ; 1 ; ; 1 ; 2 ; 5 ; ; ; 13 ; 25 ; 25 ; 18 ; 5 ; 18 ; 29 ; 18 ; 5 ; 5 
Vitoria;Internacional;2013;1; 2 ; 2 ; 38% ; 62% ; 1 ; 6 ; 1 ; 6 ;;;;; 9 ; 11 ; 9 ; 11 ; 64 ; 73 ; 35 ; 44 ; ; 2 ;;;;; 2 ; 2 ;;; 18 ; 10 ; 12 ; 18 ; 15 ; 14 ; 17 ; 19 ; 4 ; 4 
Gremio;Nautico;2013;1; 2 ; ; 59% ; 41% ;;; 6 ; 3 ;;;;;;; 8 ; 8 ; 57 ; 58 ; 41 ; 25 ; 1 ; 1 ;;;;;;;;; 19 ; 15 ; 16 ; 20 ; 10 ; 12 ; 25 ; 31 ; 10 ; 5 
Corinthians;Botafogo;2013;1; 1 ; 1 ; 56% ; 44% ; 5 ; 4 ; 5 ; 4 ;;;;; 4 ; 3 ; 4 ; 3 ; 54 ; 51 ; 29 ; 29 ; 2 ; 3 ;;;;; 2 ; 2 ;;; 17 ; 26 ; 29 ; 20 ; 8 ; 10 ; 41 ; 30 ; 4 ; 1 
Fluminense;Atletico Pr;2013;1; 2 ; 1 ; 44% ; 56% ;;; 4 ; 5 ; ; 2 ;;;;; 4 ; 11 ; 35 ; 58 ; 26 ; 43 ; 5 ; 1 ; 1 ; ;;; 2 ; 3 ;;; 11 ; 20 ; 23 ; 16 ; 12 ; 3 ; 21 ; 29 ; 2 ; 10 
Santos;Flamengo;2013;1;;; 52% ; 48% ;;; 4 ; 5 ;;;;;;; 6 ; 12 ; 38 ; 43 ; 21 ; 32 ; ; 3 ;;;;; 1 ; 1 ;;; 15 ; 18 ; 21 ; 15 ; 14 ; 6 ; 23 ; 16 ; 4 ; 5 
Criciuma;Bahia;2013;1; 3 ; 1 ; 49% ; 51% ; 8 ; 4 ; 8 ; 4 ; ; 1 ;;; 7 ; 2 ; 7 ; 2 ; 58 ; 62 ; 40 ; 33 ; 2 ; 2 ;;;;; 3 ; 3 ;;; 25 ; 24 ; 26 ; 27 ; 5 ; 10 ; 27 ; 22 ; 6 ; 2 
Coritiba;Atletico Mg;2013;1; 2 ; 1 ; 56% ; 44% ; 3 ; 3 ; 3 ; 3 ;;;;; 6 ; 2 ; 6 ; 2 ; 67 ; 64 ; 45 ; 29 ; 1 ; 1 ;;;;; 1 ; 3 ;;; 16 ; 19 ; 20 ; 17 ; 6 ; 10 ; 28 ; 21 ; 7 ; 4 
Sao Paulo;Vasco;2013;2; 5 ; 1 ; 58% ; 42% ;;; 6 ; 1 ; 2 ; ;;;;; 5 ; 8 ; 62 ; 46 ; 36 ; 20 ; 4 ; ;;;;; 1 ; 1 ;;; 18 ; 8 ; 8 ; 22 ; 10 ; 8 ; 18 ; 26 ; 14 ; 5 
Botafogo;Santos;2013;2; 2 ; 1 ; 39% ; 61% ;;; 2 ; 5 ;;;;;;; 5 ; 12 ; 66 ; 70 ; 40 ; 46 ; 7 ; 4 ;;;;; ; 1 ;;; 15 ; 12 ; 16 ; 22 ; 18 ; 5 ; 28 ; 19 ; 4 ; 5 
Atletico Pr;Cruzeiro;2013;2; 2 ; 2 ; 60% ; 40% ;;; 7 ; 7 ;;;;;;; 6 ; 7 ; 83 ; 84 ; 57 ; 47 ; 5 ; 6 ;;;;; 1 ; 2 ;;; 13 ; 15 ; 21 ; 18 ; 10 ; 15 ; 33 ; 28 ; 6 ; 7 
Bahia;Coritiba;2013;2;;; 40% ; 60% ; 4 ; 2 ; 4 ; 2 ;;;;; 7 ; 6 ; 7 ; 6 ; 65 ; 58 ; 33 ; 22 ; 1 ; 4 ;;;;; 2 ; 1 ;;; 12 ; 13 ; 17 ; 13 ; 8 ; 11 ; 20 ; 21 ; 4 ; 3 
Flamengo;Ponte Preta;2013;2; ; 2 ; 59% ; 41% ;;; 6 ; 2 ;;;;;;; 7 ; 6 ; 41 ; 30 ; 24 ; 24 ; 1 ; 3 ; 1 ; ;;; ; 1 ;;; 9 ; 18 ; 22 ; 10 ; 7 ; 6 ; 28 ; 15 ; 13 ; 5 
