Cruzeiro;Gremio;2018;1; ; 1 ; 42% ; 58% ; 8 ; 3 ;;;;; 1 ; ; 5 ; 2 ;;; 54 ; 57 ; 44 ; 30 ; ; 2 ;;;;; 3 ; 1 ; ; 1 ; 20 ; 15 ; 17 ; 20 ; 3 ; 5 ; 13 ; 12 ; 7 ; 4 
Santos;Ceara;2018;1; 2 ; ; 52% ; 48% ; 1 ; 2 ;;;;; 5 ; 4 ; 13 ; 4 ;;; 69 ; 53 ; 53 ; 36 ; 1 ; ;;;;; ; 1 ;;; 8 ; 5 ; 5 ; 9 ; 7 ; 16 ; 21 ; 21 ; 4 ; 2 
Atletico Pr;Chapecoense;2018;1; 5 ; 1 ; 64% ; 36% ; 5 ; 1 ;;;;; 3 ; 4 ; 5 ; 6 ;;; 52 ; 48 ; 39 ; 31 ; 3 ; 1 ;;;;; 1 ; 3 ;;; 10 ; 16 ; 17 ; 13 ; 9 ; 9 ; 19 ; 18 ; 3 ; 9 
America Mineiro;Sport;2018;1; 3 ; ; 39% ; 61% ; 2 ; 5 ;;;;; ; 3 ; 8 ; 6 ;;; 53 ; 56 ; 22 ; 33 ; 4 ; 3 ;;;;; 1 ; 3 ;;; 12 ; 12 ; 15 ; 16 ; 10 ; 9 ; 18 ; 25 ; 2 ; 6 
Corinthians;Fluminense;2018;1; 2 ; 1 ; 62% ; 38% ; ; 5 ;;;;; 3 ; 2 ; 6 ; 7 ;;; 54 ; 49 ; 34 ; 33 ;;;;;;;;;;; 14 ; 15 ; 15 ; 14 ; 8 ; 10 ; 25 ; 29 ; 6 ; 2 
Internacional;Bahia;2018;1; 2 ; ; 44% ; 56% ; 2 ; 2 ;;;;; 2 ; 4 ; 6 ; 5 ;;; 59 ; 70 ; 39 ; 49 ; 1 ; 1 ;;;;; 2 ; ;;; 15 ; 18 ; 19 ; 16 ; 7 ; 9 ; 23 ; 32 ; 4 ; 3 
Botafogo;Palmeiras;2018;1; 1 ; 1 ; 48% ; 52% ; 4 ; 4 ;;;;; 2 ; ; 6 ; 1 ;;; 58 ; 67 ; 43 ; 53 ;;;;;;; 1 ; 4 ;;; 7 ; 23 ; 23 ; 7 ; 3 ; 7 ; 25 ; 29 ; 8 ; 3 
Vasco;Atletico Mg;2018;1; 1 ; 1 ; 67% ; 33% ; 8 ; 7 ;;; 1 ; ; 2 ; ; 6 ; 4 ;;; 56 ; 35 ; 39 ; 21 ; 3 ; 2 ; 1 ; ;;; 4 ; 3 ;;; 11 ; 18 ; 20 ; 14 ; 5 ; 8 ; 28 ; 19 ; 9 ; 3 
Bahia;Santos;2018;2; 1 ; ; 50% ; 50% ; 4 ; 3 ;;; 1 ; ; 1 ; ; 5 ; 3 ;;; 64 ; 43 ; 38 ; 23 ; 2 ; 3 ;;;;; 3 ; 3 ;;; 28 ; 22 ; 25 ; 30 ; 7 ; 9 ; 19 ; 18 ; 7 ; 6 
Flamengo;America Mineiro;2018;2; 2 ; ; 52% ; 48% ; 3 ; 7 ;;;;; ; 3 ; 5 ; 3 ;;; 42 ; 49 ; 27 ; 33 ; 1 ; ; 1 ; ;;; 1 ; 1 ;;; 15 ; 16 ; 16 ; 16 ; 11 ; 8 ; 14 ; 33 ; 6 ; 12 
Parana Clube;Corinthians;2018;2; ; 4 ; 57% ; 43% ; 8 ; ;;; 1 ; ; 3 ; 1 ; 4 ; 2 ;;; 68 ; 64 ; 40 ; 26 ; 2 ; 1 ;;;;; 1 ; 1 ;;; 16 ; 16 ; 17 ; 18 ; 5 ; 13 ; 28 ; 15 ; 5 ; 2 
Sao Paulo;Parana Clube;2018;1; 1 ; ; 55% ; 45% ; 5 ; 1 ;;;;; 1 ; ; 2 ; 5 ;;; 101 ; 75 ; 58 ; 29 ; 3 ; 2 ;;;;; 4 ; 2 ;;; 19 ; 15 ; 17 ; 22 ; 5 ; 7 ; 19 ; 22 ; 7 ; 7 
Atletico Mg;Vitoria;2018;2; 2 ; 1 ; 59% ; 41% ; 2 ; 5 ;;; 3 ; ; 2 ; 1 ; 3 ; 6 ;;; 60 ; 53 ; 45 ; 33 ; 6 ; 1 ;;;;; 2 ; 4 ;;; 22 ; 19 ; 20 ; 28 ; 11 ; 7 ; 24 ; 20 ; 6 ; 5 
Fluminense;Cruzeiro;2018;2; 1 ; ; 36% ; 64% ; 2 ; 6 ;;; ; 1 ; ; 3 ; ; 5 ;;; 47 ; 65 ; 23 ; 50 ; ; 3 ;;;;; 3 ; 2 ; 1 ; ; 13 ; 19 ; 22 ; 13 ; 6 ; 1 ; 18 ; 16 ; 1 ; 7 
Ceara;Sao Paulo;2018;2;;; 55% ; 45% ; 3 ; 3 ;;;;; 6 ; 1 ; 3 ; 7 ;;; 70 ; 65 ; 47 ; 37 ; 1 ; 1 ;;;;; 1 ; 1 ;;; 12 ; 7 ; 8 ; 13 ; 6 ; 5 ; 24 ; 10 ; 7 ; 7 
Palmeiras;Internacional;2018;2; 1 ; ; 45% ; 55% ; 2 ; 2 ;;; 1 ; ; 2 ; ; 8 ; 4 ;;; 73 ; 72 ; 49 ; 48 ; ; 2 ;;;;; 2 ; 2 ;;; 14 ; 15 ; 17 ; 14 ; 5 ; 11 ; 22 ; 27 ; 8 ; 9 
Gremio;Atletico Pr;2018;2;;; 54% ; 46% ; 10 ; 2 ;;; 1 ; ; 4 ; 3 ; 10 ; 3 ;;; 76 ; 57 ; 66 ; 41 ; 3 ; 1 ;;; ; 1 ; 3 ; 3 ;;; 9 ; 15 ; 16 ; 12 ; 8 ; 14 ; 14 ; 17 ; 7 ; 4 
Sport;Botafogo;2018;2; 1 ; 1 ; 54% ; 46% ; 11 ; 1 ;;;;; 4 ; 3 ; 4 ; 6 ;;; 64 ; 50 ; 38 ; 30 ; 2 ; ;;;;; 1 ; 3 ;;; 13 ; 14 ; 15 ; 16 ; 8 ; 9 ; 25 ; 19 ; 10 ; 7 
Botafogo;Gremio;2018;3; 2 ; 1 ; 58% ; 42% ; 6 ; 2 ;;; 1 ; ; 5 ; 2 ; 6 ; 4 ;;; 59 ; 56 ; 43 ; 41 ; ; 2 ;;;;; 1 ; 1 ;;; 14 ; 12 ; 14 ; 14 ; 7 ; 8 ; 17 ; 19 ; 10 ; 4 
Vitoria;Flamengo;2018;1; 2 ; 2 ; 63% ; 37% ; 3 ; 4 ;;;;; 2 ; ; 9 ; 3 ;;; 48 ; 38 ; 41 ; 30 ; 2 ; 2 ; 1 ; ;;; 3 ; 2 ; ; 1 ; 23 ; 9 ; 11 ; 25 ; 4 ; 11 ; 18 ; 19 ; 4 ; 5 
Chapecoense;Vasco;2018;2; 1 ; 1 ; 42% ; 58% ; 1 ; 7 ;;;;; 2 ; 1 ; 6 ; 6 ;;; 68 ; 76 ; 23 ; 39 ; 2 ; 2 ;;;;; 1 ; 2 ;;; 13 ; 8 ; 10 ; 15 ; 7 ; 12 ; 17 ; 19 ; 3 ; 3 
Palmeiras;Chapecoense;2018;3; ; ; 72% ; 28% ; 5 ; ;;; 1 ; ; 3 ; 1 ; 8 ; 5 ;;; 64 ; 31 ; 44 ; 17 ; 1 ; 2 ;;;;; 4 ; 6 ;;; 18 ; 15 ; 17 ; 19 ; 5 ; 13 ; 27 ; 14 ; 14 ; 1 
