Fluminense;Figueirense;2014;1; 3 ; ; 55% ; 45% ; 8 ; 1 ;;; 1 ; ; 1 ; 1 ; 5 ; 3 ;;; 58 ; 29 ; 37 ; 14 ; 1 ; 3 ; 1 ; ;;; ; 2 ;;; 15 ; 11 ; 14 ; 16 ; 4 ; 11 ; 23 ; 17 ; 8 ; 2 
Internacional;Vitoria;2014;1; 1 ; ; 54% ; 46% ; 3 ; 2 ;;; 1 ; ; 1 ; ; 7 ; 2 ;;; 77 ; 67 ; 44 ; 33 ; ; 2 ;;;;; 2 ; 3 ;;; 16 ; 17 ; 19 ; 16 ; 6 ; 16 ; 28 ; 16 ; 7 ; 3 
Flamengo;Goias;2014;1;;; 64% ; 36% ; 4 ; 6 ;;;;; 3 ; 4 ; 2 ; 3 ;;; 60 ; 49 ; 44 ; 24 ; 5 ; 2 ;;;;; 4 ; 2 ;;; 13 ; 14 ; 16 ; 18 ; 5 ; 8 ; 22 ; 13 ; 10 ; 3 
Bahia;Cruzeiro;2014;1; 1 ; 2 ; 46% ; 54% ; 7 ; 3 ;;; ; 1 ; 2 ; 1 ; 5 ; 9 ;;; 48 ; 45 ; 24 ; 24 ; ; 4 ; 1 ; ;;; 4 ; 4 ;;; 15 ; 19 ; 23 ; 15 ; 10 ; 8 ; 20 ; 15 ; 7 ; 7 
Atletico Pr;Gremio;2014;1; 1 ; ; 40% ; 60% ; 1 ; 5 ;;;;; 1 ; 3 ; 3 ; 10 ;;; 59 ; 80 ; 31 ; 55 ; 4 ; 1 ;;;;; 1 ; 2 ;;; 18 ; 15 ; 17 ; 22 ; 14 ; 8 ; 14 ; 26 ; 1 ; 10 
Santos;Sport;2014;1; 1 ; 1 ; 49% ; 51% ; 7 ; 3 ;;; 1 ; ; 1 ; 1 ; 12 ; 5 ;;; 69 ; 63 ; 47 ; 31 ; 3 ; 2 ;;;;; 1 ; 3 ;;; 23 ; 22 ; 24 ; 26 ; 8 ; 18 ; 18 ; 22 ; 9 ; 2 
Atletico Mg;Corinthians;2014;1;;; 53% ; 47% ; 12 ; 9 ;;;;; 1 ; 1 ; 2 ; 7 ;;; 49 ; 49 ; 34 ; 34 ; 1 ; 2 ;;;;;;;;; 15 ; 13 ; 15 ; 16 ; 13 ; 3 ; 13 ; 18 ; 6 ; 4 
Chapecoense;Coritiba;2014;1;;; 57% ; 43% ; 4 ; 7 ;;;;; 4 ; 3 ; 3 ; 6 ;;; 62 ; 61 ; 19 ; 26 ; 2 ; 2 ;;;;; ; 1 ;;; 27 ; 24 ; 26 ; 29 ; 10 ; 4 ; 30 ; 28 ; 4 ; 3 
Sao Paulo;Botafogo;2014;1; 3 ; ; 56% ; 44% ; 5 ; 5 ;;;;; 1 ; ; 2 ; 3 ;;; 49 ; 44 ; 27 ; 27 ; 7 ; 1 ;;;;; 1 ; 2 ;;; 18 ; 23 ; 24 ; 25 ; 7 ; 4 ; 15 ; 21 ; 4 ; 4 
Criciuma;Palmeiras;2014;1; 1 ; 2 ; 44% ; 56% ; 7 ; 5 ;;;;; 2 ; 2 ; 4 ; 6 ;;; 67 ; 71 ; 36 ; 42 ; 2 ; 1 ;;;;; 3 ; 5 ;;; 12 ; 15 ; 16 ; 14 ; 11 ; 10 ; 33 ; 26 ; 7 ; 5 
Palmeiras;Fluminense;2014;2; ; 1 ; 50% ; 50% ; 2 ; 7 ;;;;; 2 ; 2 ; 4 ; 8 ;;; 69 ; 68 ; 30 ; 30 ; 2 ; 3 ;;;;; 1 ; 2 ;;; 15 ; 11 ; 14 ; 17 ; 10 ; 7 ; 24 ; 30 ; 4 ; 10 
Coritiba;Santos;2014;2;;; 53% ; 47% ; 7 ; 1 ;;; 2 ; ; 1 ; ; 6 ; 4 ;;; 74 ; 71 ; 40 ; 35 ; 2 ; 2 ;;;;; 3 ; 4 ;;; 15 ; 24 ; 26 ; 17 ; 4 ; 11 ; 16 ; 17 ; 13 ; 7 
Botafogo;Internacional;2014;2; 2 ; 2 ; 47% ; 53% ; 2 ; 2 ;;;;; ; 1 ; 12 ; 5 ;;; 60 ; 37 ; 31 ; 25 ; 2 ; 1 ;;;;; 2 ; 4 ; 1 ; ; 19 ; 22 ; 23 ; 23 ; 6 ; 18 ; 36 ; 13 ; 4 ; 5 
Vitoria;Atletico Pr;2014;2; 2 ; 2 ; 49% ; 51% ; 4 ; 7 ;;; 1 ; ; ; 1 ; 7 ; 4 ;;; 44 ; 41 ; 31 ; 29 ; 3 ; 3 ;;;;; 1 ; 1 ;;; 13 ; 16 ; 21 ; 16 ; 9 ; 10 ; 18 ; 35 ; 4 ; 9 
Sport;Chapecoense;2014;2; 2 ; 1 ; 50% ; 50% ; 1 ; 1 ;;; 1 ; ; 3 ; ; 4 ; 5 ;;; 37 ; 45 ; 13 ; 20 ; ; 3 ;;;;; 1 ; 1 ;;; 29 ; 18 ; 21 ; 29 ; 7 ; 7 ; 16 ; 22 ; 1 ; 4 
