Sport;Figueirense;2015;1; 4 ; 1 ; 56% ; 44% ; 7 ; 2 ;;;;; 1 ; ; 3 ; 3 ;;; 45 ; 37 ; 26 ; 13 ; ; 3 ; 2 ; ; ; 1 ; 1 ; 3 ;;; 17 ; 12 ; 15 ; 17 ; 4 ; 9 ; 18 ; 17 ; 7 ; 1 
Gremio;Ponte Preta;2015;1; 3 ; 3 ; 49% ; 51% ; 2 ; 3 ;;;;; 1 ; 4 ; 3 ; ;;; 71 ; 69 ; 33 ; 29 ; 3 ; ;;; ; 1 ; 3 ; 5 ;;; 16 ; 19 ; 19 ; 19 ; 4 ; 8 ; 28 ; 12 ; 5 ; 10 
Cruzeiro;Corinthians;2015;1; ; 1 ; 54% ; 46% ; 3 ; 1 ;;;;; 2 ; 3 ; 9 ; 4 ;;; 60 ; 48 ; 38 ; 21 ; 4 ; 2 ;;;;; 3 ; 1 ;;; 16 ; 15 ; 17 ; 20 ; 7 ; 11 ; 12 ; 16 ; 2 ; 4 
Fluminense;Joinville;2015;1; 1 ; ; 67% ; 33% ; 11 ; ;;; 1 ; ; 2 ; 1 ; 12 ; 2 ;;; 65 ; 30 ; 46 ; 12 ; 1 ; 1 ;;; ; 1 ; 2 ; 1 ;;; 8 ; 12 ; 14 ; 10 ; 2 ; 18 ; 25 ; 21 ; 5 ; 3 
Sao Paulo;Flamengo;2015;1; 2 ; 1 ; 53% ; 47% ; 1 ; 1 ;;;;; 1 ; ; 5 ; 2 ;;; 80 ; 71 ; 26 ; 28 ; ; 2 ; ; 1 ;;; 2 ; 1 ;;; 17 ; 13 ; 17 ; 17 ; 6 ; 9 ; 18 ; 26 ; 4 ; 6 
Chapecoense;Coritiba;2015;1; 2 ; 1 ; 47% ; 53% ; 3 ; 1 ;;; ; 1 ; 3 ; 4 ; 5 ; 6 ;;; 51 ; 53 ; 30 ; 25 ; 4 ; ;;;;; 2 ; 2 ;;; 18 ; 21 ; 21 ; 22 ; 12 ; 7 ; 22 ; 44 ; 3 ; 5 
Palmeiras;Atletico Mg;2015;1; 2 ; 2 ; 49% ; 51% ; 7 ; 3 ;;;;; 4 ; ; 8 ; 6 ;;; 64 ; 46 ; 49 ; 28 ; 2 ; 4 ;;;;; 2 ; 3 ;;; 17 ; 15 ; 19 ; 19 ; 5 ; 7 ; 27 ; 23 ; 11 ; 2 
Atletico Pr;Internacional;2015;1; 3 ; ; 43% ; 57% ; 2 ; 4 ;;; ; 2 ; 3 ; ; 3 ; 7 ;;; 66 ; 71 ; 25 ; 35 ; 1 ; 1 ; 1 ; ;;; 1 ; 2 ;;; 17 ; 17 ; 18 ; 18 ; 12 ; 7 ; 21 ; 27 ; 2 ; 11 
Vasco;Goias;2015;1;;; 60% ; 40% ; 3 ; 3 ;;;;; 2 ; 2 ; 6 ; ;;; 47 ; 34 ; 24 ; 14 ; 1 ; 2 ;;;;; 3 ; 5 ;;; 15 ; 27 ; 29 ; 16 ; 3 ; 10 ; 23 ; 24 ; 4 ; 2 
Avai;Santos;2015;1; 1 ; 1 ; 46% ; 54% ; 3 ; 2 ;;; 1 ; ; 2 ; 1 ; 9 ; 5 ;;; 61 ; 61 ; 44 ; 32 ; 2 ; 2 ;;; ; 1 ; 2 ; 3 ;;; 10 ; 11 ; 14 ; 12 ; 7 ; 13 ; 15 ; 26 ; 4 ; 3 
