Sao Paulo;Botafogo;2019;1; 2 ; ; 39% ; 61% ; 4 ; 3 ;;;;; 1 ; 2 ; 2 ; 3 ;;; 75 ; 99 ; 58 ; 63 ; 2 ; 1 ;;;;; ; 4 ;;; 23 ; 7 ; 7 ; 20 ; 4 ; 6 ; 17 ; 13 ; 3 ; 2 
Atletico Pr;Vasco;2019;1; 4 ; 1 ; 56% ; 44% ; 6 ; 3 ;;; 1 ; 1 ; 1 ; 1 ; 6 ; 7 ;;; 51 ; 55 ; 38 ; 32 ; 2 ; 1 ;;;;; 1 ; 1 ;;; 15 ; 19 ; 18 ; 15 ; 7 ; 8 ; 19 ; 15 ; 4 ; 
Ceara;Csa;2019;1; 4 ; ; 54% ; 46% ; 2 ; 1 ;;; 1 ; ; 2 ; ; 5 ; 4 ;;; 76 ; 38 ; 49 ; 21 ; 2 ; 1 ; ; ;;; ; ; ; 1 ; 15 ; 4 ; 4 ; 13 ; 8 ; 10 ; 11 ; 19 ; 3 ; 6 
Chapecoense;Internacional;2019;1; 2 ; ; 45% ; 55% ; 5 ; 7 ;;;;; ; 3 ; 4 ; 10 ;;; 75 ; 89 ; 28 ; 45 ; ; 2 ; 1 ; ;;; 1 ; 1 ;;; 15 ; 11 ; 8 ; 13 ; 14 ; 5 ; 32 ; 28 ; 3 ; 5 
Atletico Mg;Avai;2019;1; 2 ; 1 ; 58% ; 42% ; 1 ; ;;; 1 ; 1 ; ; 1 ; 8 ; 4 ;;; 83 ; 64 ; 41 ; 31 ; ; 1 ; 1 ; ;;; ; 1 ;;; 12 ; 18 ; 17 ; 11 ; 7 ; 11 ; 28 ; 23 ; 4 ; 4 
Bahia;Corinthians;2019;1; 3 ; 2 ; 42% ; 58% ; 4 ; 2 ;;; 1 ; ; 1 ; 1 ; 3 ; 3 ;;; 57 ; 51 ; 37 ; 20 ; 1 ; ;;;;; 1 ; 4 ;;; 17 ; 5 ; 3 ; 17 ; 4 ; 10 ; 24 ; 23 ; 4 ; 4 
Gremio;Santos;2019;1; 1 ; 2 ; 62% ; 38% ; 11 ; 3 ;;; 1 ; ; 5 ; ; 7 ; 4 ;;; 61 ; 42 ; 53 ; 30 ; 2 ; 1 ;;;;; 3 ; 4 ;;; 12 ; 18 ; 17 ; 12 ; 4 ; 10 ; 25 ; 24 ; 12 ; 2 
Palmeiras;Fortaleza;2019;1; 4 ; ; 52% ; 48% ; 3 ; 5 ;;;;; 3 ; 1 ; 5 ; 2 ;;; 80 ; 65 ; 55 ; 33 ; 3 ; 1 ;;;;; 1 ; 2 ;;; 12 ; 16 ; 13 ; 12 ; 5 ; 13 ; 17 ; 18 ; 6 ; 1 
Cruzeiro;Ceara;2019;2; 1 ; ; 55% ; 45% ; 2 ; 4 ;;; 1 ; 1 ; 2 ; 3 ; 5 ; 4 ;;; 85 ; 54 ; 44 ; 24 ; 1 ; 2 ; ; 1 ;;; 1 ; ;;; 10 ; 12 ; 11 ; 9 ; 5 ; 11 ; 21 ; 18 ; 2 ; 3 
Avai;Gremio;2019;2; 1 ; 1 ; 49% ; 51% ; 4 ; ;;;;; ; 1 ; 8 ; 1 ;;; 66 ; 68 ; 35 ; 39 ; ; 1 ;;;;; 4 ; 3 ;;; 15 ; 17 ; 15 ; 14 ; 7 ; 10 ; 21 ; 16 ; 11 ; 4 
