Flamengo;Sport;2016;1; 1 ; ; 56% ; 44% ; 4 ; 1 ;;;;;;; 6 ; ;;; 79 ; 50 ; 46 ; 26 ; 2 ; 2 ;;;;; 2 ; 1 ; ; 1 ; 18 ; 16 ; 18 ; 20 ; 1 ; 6 ; 18 ; 25 ; 4 ; 4 
Botafogo;Sao Paulo;2016;1; ; 1 ; 67% ; 33% ; 5 ; 2 ;;;;; 2 ; ; 6 ; 2 ;;; 75 ; 46 ; 60 ; 26 ; 3 ; 3 ;;;;; 1 ; 5 ;;; 7 ; 10 ; 13 ; 10 ; 5 ; 14 ; 25 ; 15 ; 7 ; 4 
Palmeiras;Atletico Pr;2016;1; 4 ; ; 61% ; 39% ; 3 ; 1 ;;;;; 1 ; ; 4 ; 2 ;;; 49 ; 40 ; 32 ; 22 ; 3 ; ;;; ; 1 ; 1 ; 4 ;;; 13 ; 17 ; 17 ; 16 ; 4 ; 8 ; 20 ; 20 ; 8 ; 1 
Santa Cruz;Vitoria;2016;1; 4 ; 1 ; 46% ; 54% ; 1 ; 1 ;;; ; 1 ; 1 ; 1 ; 1 ; 3 ;;; 38 ; 45 ; 19 ; 18 ; 6 ; 1 ; 1 ; ;;; 3 ; ;;; 10 ; 15 ; 17 ; 17 ; 7 ; 2 ; 30 ; 32 ; 6 ; 1 
Corinthians;Gremio;2016;1;;; 59% ; 41% ; 3 ; 2 ;;;;; 2 ; 1 ; 11 ; 3 ;;; 80 ; 72 ; 43 ; 42 ; 2 ; 3 ;;;;; 1 ; 4 ;;; 12 ; 20 ; 23 ; 14 ; 8 ; 15 ; 31 ; 26 ; 10 ; 2 
America Mineiro;Fluminense;2016;1; ; 1 ; 42% ; 58% ; 3 ; 2 ;;;;; ; 1 ; 10 ; 6 ;;; 44 ; 48 ; 35 ; 42 ; 2 ; 4 ;;;;;;;;; 8 ; 9 ; 13 ; 10 ; 12 ; 7 ; 21 ; 30 ; 8 ; 15 
Coritiba;Cruzeiro;2016;1; 1 ; ; 51% ; 49% ; 2 ; 1 ;;;;; 2 ; ; 4 ; 3 ;;; 73 ; 72 ; 43 ; 35 ; 1 ; 4 ;;; ; 1 ; 1 ; 3 ; ; 1 ; 19 ; 22 ; 26 ; 20 ; 5 ; 7 ; 23 ; 22 ; 5 ; 
Figueirense;Ponte Preta;2016;1;;; 49% ; 51% ; 5 ; 2 ;;; ; 1 ; 4 ; 5 ; 5 ; 11 ;;; 54 ; 59 ; 32 ; 46 ; 1 ; 1 ;;;;; 2 ; 5 ;;; 7 ; 19 ; 22 ; 8 ; 17 ; 13 ; 28 ; 35 ; 6 ; 9 
Atletico Mg;Santos;2016;1; 1 ; ; 46% ; 54% ; 5 ; 4 ;;;;; 4 ; 2 ; 8 ; 5 ;;; 69 ; 73 ; 43 ; 47 ; 4 ; 5 ;;;;; 2 ; 2 ;;; 18 ; 11 ; 16 ; 22 ; 10 ; 9 ; 22 ; 37 ; 4 ; 2 
Atletico Pr;Atletico Mg;2016;2; 1 ; 1 ; 46% ; 54% ; 2 ; 8 ;;;;; 1 ; 1 ; 3 ; 9 ;;; 68 ; 85 ; 36 ; 55 ; 1 ; 4 ; ; 1 ;;; 3 ; 1 ;;; 18 ; 6 ; 10 ; 19 ; 16 ; 7 ; 24 ; 27 ; 5 ; 13 
Internacional;Chapecoense;2016;1;;; 59% ; 41% ; 6 ; 2 ;;;;; 2 ; ; 3 ; 3 ;;; 68 ; 36 ; 39 ; 22 ; 1 ; ; 1 ; ; ; 1 ; 3 ; 4 ;;; 14 ; 19 ; 19 ; 15 ; 9 ; 6 ; 24 ; 45 ; 9 ; 4 
Ponte Preta;Palmeiras;2016;2; 2 ; 1 ; 37% ; 63% ; 3 ; 4 ;;; 1 ; ; 3 ; 1 ; 2 ; 3 ;;; 54 ; 71 ; 28 ; 34 ; 3 ; 3 ;;;;; 3 ; 4 ;;; 20 ; 16 ; 19 ; 23 ; 10 ; 10 ; 30 ; 30 ; 4 ; 6 
Cruzeiro;Figueirense;2016;2; 2 ; 2 ; 66% ; 34% ; 6 ; 3 ;;;;; 4 ; 2 ; 6 ; 5 ;;; 56 ; 35 ; 38 ; 20 ; 1 ; 1 ;;;;; 3 ; 1 ;;; 11 ; 13 ; 15 ; 12 ; 8 ; 15 ; 35 ; 21 ; 5 ; 4 
Fluminense;Santa Cruz;2016;2; 2 ; 2 ; 55% ; 45% ; 2 ; 2 ;;;;;;; 8 ; 5 ;;; 60 ; 56 ; 36 ; 37 ;;; ; 1 ;;; 3 ; 5 ;;; 19 ; 23 ; 23 ; 19 ; 8 ; 11 ; 20 ; 13 ; 6 ; 5 
Santos;Coritiba;2016;2; 1 ; 1 ; 59% ; 41% ; 4 ; ;;; ; 1 ;;; 2 ; 2 ;;; 65 ; 46 ; 42 ; 25 ; 6 ; 2 ;;;;; 5 ; 2 ;;; 13 ; 15 ; 17 ; 19 ; 4 ; 6 ; 24 ; 18 ; 2 ; 1 
Gremio;Flamengo;2016;2; 1 ; ; 42% ; 58% ; 7 ; 5 ;;; 2 ; ; ; 4 ; 7 ; 4 ;;; 71 ; 76 ; 44 ; 47 ; 3 ; 5 ;;;;; 3 ; 2 ;;; 17 ; 7 ; 13 ; 20 ; 4 ; 8 ; 18 ; 24 ; 11 ; 5 
Chapecoense;America Mineiro;2016;2; 3 ; 1 ; 62% ; 38% ; 4 ; 2 ;;;;; 2 ; 1 ; 2 ; 3 ;;; 55 ; 47 ; 39 ; 17 ; 3 ; 1 ; 1 ; 1 ;;; ; 4 ;;; 10 ; 24 ; 25 ; 13 ; 5 ; 6 ; 27 ; 27 ; 6 ; 3 
Sport;Botafogo;2016;2; 1 ; 1 ; 56% ; 44% ; 8 ; 1 ;;; ; 2 ; ; 1 ; 3 ; 10 ;;; 65 ; 57 ; 34 ; 32 ; 1 ; 5 ;;;;; 3 ; 2 ;;; 14 ; 10 ; 15 ; 15 ; 16 ; 6 ; 14 ; 11 ; 10 ; 1 
Botafogo;Atletico Pr;2016;3; 2 ; 1 ; 36% ; 64% ; 1 ; 3 ;;; ; 1 ; 1 ; 3 ; 6 ; 5 ;;; 73 ; 80 ; 40 ; 48 ; 5 ; 1 ;;;;; 2 ; 2 ;;; 8 ; 12 ; 13 ; 13 ; 6 ; 8 ; 16 ; 27 ; 3 ; 5 
Figueirense;Santos;2016;3; 2 ; 2 ; 47% ; 53% ; 3 ; 1 ;;;;; 4 ; 1 ; 2 ; 5 ;;; 57 ; 53 ; 32 ; 29 ; 2 ; 1 ; ; 2 ;;; 2 ; 3 ; ; 1 ; 19 ; 11 ; 13 ; 21 ; 11 ; 6 ; 34 ; 13 ; 7 ; 2 
Flamengo;Chapecoense;2016;3; 2 ; 2 ; 59% ; 41% ; 1 ; 4 ;;;;; ; 1 ; 4 ; 4 ;;; 54 ; 43 ; 30 ; 26 ; 3 ; 3 ; 1 ; 1 ;;; 4 ; 1 ; 1 ; ; 9 ; 23 ; 26 ; 12 ; 5 ; 7 ; 15 ; 18 ; 2 ; 5 
Sao Paulo;Internacional;2016;2; 1 ; 2 ; 55% ; 45% ; 5 ; 3 ;;;;; 1 ; ; 8 ; 4 ;;; 68 ; 66 ; 44 ; 34 ; ; 2 ;;; ; 1 ; 4 ; 6 ;;; 9 ; 16 ; 18 ; 9 ; 10 ; 12 ; 30 ; 18 ; 11 ; 5 
Vitoria;Corinthians;2016;2; 3 ; 2 ; 42% ; 58% ; 5 ; 7 ;;; 1 ; ; 3 ; ; 2 ; 6 ;;; 48 ; 52 ; 26 ; 33 ; 3 ; 3 ;;; 1 ; ; 5 ; 4 ;;; 23 ; 21 ; 24 ; 26 ; 10 ; 3 ; 11 ; 22 ; 5 ; 5 
Santa Cruz;Cruzeiro;2016;3; 4 ; 1 ; 40% ; 60% ; ; 5 ;;;;; 1 ; 3 ; 3 ; 10 ;;; 37 ; 53 ; 17 ; 29 ; 3 ; 1 ; 1 ; ;;; 2 ; 3 ;;; 15 ; 14 ; 16 ; 18 ; 15 ; 5 ; 18 ; 30 ; 1 ; 7 
Coritiba;Sao Paulo;2016;3; 1 ; 1 ; 46% ; 54% ; 2 ; 9 ;;; 1 ; 1 ; 1 ; ; 7 ; 4 ;;; 70 ; 76 ; 40 ; 36 ; ; 1 ;;;;; 2 ; 2 ;;; 18 ; 12 ; 13 ; 18 ; 9 ; 11 ; 18 ; 24 ; 6 ; 3 
America Mineiro;Vitoria;2016;3; 1 ; 1 ; 53% ; 47% ; 2 ; ;;;;; 2 ; 2 ; 7 ; 4 ;;; 64 ; 64 ; 41 ; 28 ; 1 ; 3 ;;; ; 1 ; 4 ; 2 ;;; 21 ; 17 ; 20 ; 22 ; 6 ; 9 ; 22 ; 18 ; 4 ; 1 
Palmeiras;Fluminense;2016;3; 2 ; ; 49% ; 51% ; 6 ; 2 ;;;;; 3 ; 3 ; 3 ; 6 ;;; 47 ; 41 ; 31 ; 21 ; 1 ; 3 ;;;;; 1 ; ;;; 20 ; 12 ; 15 ; 21 ; 10 ; 11 ; 23 ; 27 ; 8 ; 4 
Atletico Mg;Gremio;2016;3; ; 3 ; 61% ; 39% ; 4 ; 2 ;;; ; 1 ; 5 ; 1 ; 5 ; 3 ;;; 80 ; 68 ; 49 ; 34 ; ; 1 ;;;;; 1 ; 5 ;;; 8 ; 14 ; 15 ; 8 ; 2 ; 13 ; 32 ; 19 ; 5 ; 4 
Internacional;Sport;2016;3; 1 ; ; 54% ; 46% ; 6 ; 2 ;;;;; ; 1 ; 3 ; 3 ;;; 68 ; 49 ; 39 ; 30 ; 3 ; 1 ;;;;; 3 ; 1 ;;; 14 ; 13 ; 14 ; 17 ; 6 ; 7 ; 23 ; 23 ; 7 ; 5 
Cruzeiro;America Mineiro;2016;4; 1 ; 1 ; 63% ; 37% ; 6 ; 3 ;;;;; 1 ; 1 ; 15 ; 2 ;;; 64 ; 44 ; 48 ; 24 ; 1 ; ;;;;; 1 ; 1 ;;; 7 ; 9 ; 9 ; 8 ; 7 ; 19 ; 37 ; 18 ; 15 ; 4 
Corinthians;Ponte Preta;2016;3; 3 ; ; 55% ; 45% ; 4 ; 1 ;;;;; 2 ; 2 ; 3 ; 3 ;;; 66 ; 58 ; 38 ; 33 ; ; 1 ;;;;; 3 ; 3 ;;; 22 ; 15 ; 16 ; 22 ; 8 ; 11 ; 14 ; 20 ; 5 ; 3 
Chapecoense;Santa Cruz;2016;4; 1 ; 1 ; 68% ; 32% ; 1 ; 1 ;;;;; 5 ; 1 ; 10 ; ;;; 55 ; 33 ; 31 ; 16 ; ; 1 ;;;;; 1 ; 4 ;;; 16 ; 19 ; 20 ; 16 ; 2 ; 14 ; 36 ; 20 ; 9 ; 1 
Vitoria;Atletico Mg;2016;4; 1 ; 1 ; 50% ; 50% ; 7 ; 8 ;;; 1 ; ; 2 ; 1 ; 4 ; 5 ;;; 51 ; 45 ; 40 ; 33 ; 1 ; 1 ;;;;; 5 ; 6 ;;; 19 ; 15 ; 17 ; 21 ; 8 ; 11 ; 16 ; 18 ; 4 ; 5 
Atletico Pr;Figueirense;2016;4; 2 ; 1 ; 49% ; 51% ; 6 ; 3 ;;; 1 ; 2 ;;; ; 4 ;;; 66 ; 62 ; 30 ; 32 ; 3 ; ;;;;; 2 ; 1 ;;; 17 ; 16 ; 16 ; 20 ; 11 ; 6 ; 35 ; 33 ; 7 ; 5 
Sao Paulo;Palmeiras;2016;4; 1 ; ; 49% ; 51% ; 5 ; 3 ;;;;; 1 ; 1 ; 6 ; 2 ;;; 79 ; 56 ; 43 ; 31 ; 3 ; 3 ;;;;; 2 ; 5 ;;; 18 ; 21 ; 24 ; 21 ; 5 ; 9 ; 21 ; 17 ; 13 ; 2 
Ponte Preta;Flamengo;2016;4; 1 ; 2 ; 57% ; 43% ; 3 ; 3 ;;; 1 ; ; 1 ; ; 10 ; 2 ;;; 81 ; 55 ; 62 ; 23 ; 2 ; 1 ;;; ; 1 ; 2 ; 2 ;;; 19 ; 13 ; 14 ; 21 ; 5 ; 16 ; 27 ; 18 ; 8 ; 2 
Santos;Internacional;2016;4; ; 1 ; 52% ; 48% ; 4 ; 5 ;;;;; 3 ; ; 4 ; 5 ;;; 70 ; 75 ; 48 ; 50 ; 2 ; 1 ;;;;; 1 ; 1 ;;; 9 ; 14 ; 15 ; 11 ; 9 ; 11 ; 49 ; 24 ; 5 ; 5 
